bathrooms,bedrooms,latitude,longitude,price,photos_num,description_len,features_len,Elevator,Cats Allowed,Hardwood Floors,Dogs Allowed,Doorman,Dishwasher,No Fee,Laundry in Building,Fitness Center,Pre-War,Laundry in Unit,Roof Deck,Outdoor Space,Dining Room,High Speed Internet,Balcony,Swimming Pool,Laundry In Building,New Construction,Terrace,studio,created_delta,building_id_ct,manager_id_ct,interest_level
1.0,1,40.7185,-73.9865,2900,5,183,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-2067954.5,3,55,1
1.0,3,40.645,-73.9984,2200,9,69,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2157578.3,2,9,2
1.0,2,40.6455,-73.961,2475,13,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2085988.9,5,410,0
1.0,1,40.7633,-73.9932,2895,4,60,5,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-1994461.1,15,64,0
1.0,0,40.771,-73.9553,1750,5,47,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1942682.6,1,34,0
2.0,3,40.6678,-73.9398,3050,8,181,8,0,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,-1984348.9,8286,18,0
1.0,0,40.7398,-73.9811,3850,9,170,7,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,-2010283.0,11,99,0
1.0,3,40.6956,-73.9227,2400,9,24,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2022601.6,6,29,1
1.0,1,40.7751,-73.9886,3925,8,131,8,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,-1986219.9,51,36,0
1.0,1,40.7287,-73.981,2850,3,31,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-2047185.2,8286,7,0
1.0,1,40.7528,-73.9709,2985,6,60,5,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1984921.2,38,122,0
1.0,1,40.7074,-74.0069,3620,6,54,4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2107375.9,167,11,0
3.0,4,40.7024,-73.9279,4200,12,100,5,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-2049167.1,2,24,0
2.0,3,40.7754,-73.9509,4995,5,30,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-2069797.9,12,90,0
1.0,0,40.7656,-73.9582,1895,3,66,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-2053360.7,8286,8,1
3.0,3,40.7381,-73.9917,13745,5,377,9,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,-1976588.7,12,60,0
1.0,1,40.7075,-74.0079,3710,5,62,7,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-1964726.9,66,30,0
1.0,1,40.7959,-73.9742,3300,3,47,4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2098731.1,108,10,0
1.0,3,40.7641,-73.9592,4350,5,233,4,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1986304.8,21,70,0
1.0,1,40.826,-73.9518,2175,10,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2184108.2,16,18,0
1.0,1,40.7474,-73.9566,2995,13,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2176018.1,21,12,0
2.0,3,40.6765,-73.9524,2850,8,50,4,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-2161273.4,5,11,2
1.0,1,40.7638,-73.994,3100,5,88,6,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2055405.2,34,87,0
1.0,0,40.7396,-74.0035,2850,3,94,4,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-2055046.8,8286,85,0
1.0,0,40.7617,-73.9617,2065,1,53,8,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,-2175626.9,22,37,0
1.0,1,40.6633,-73.9826,2050,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1942209.2,3,24,0
1.0,1,40.7783,-73.9837,3510,5,215,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2063220.5,34,62,0
1.0,0,40.7749,-73.9782,2200,8,59,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1994369.6,36,40,0
1.0,0,40.7182,-74.0148,3650,6,146,11,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,-1977107.5,51,256,0
1.0,0,40.7681,-73.9563,2547,7,30,4,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1960223.7,26,8,0
1.0,0,40.7606,-73.9973,2950,7,89,11,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,-1968832.2,4,168,1
1.0,2,40.7221,-73.9806,3200,6,102,4,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-2087280.6,3,2533,1
1.5,2,40.7689,-73.9235,2500,5,69,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2107351.8,1,8,0
1.0,2,40.7596,-73.99,3350,7,171,5,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,-2010425.5,13,47,0
1.0,1,40.7437,-73.9851,5550,45,0,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-2003259.2,56,61,0
1.0,0,40.7678,-73.9915,3104,1,0,5,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-2184154.1,147,410,0
1.0,1,40.7412,-73.9772,3050,9,102,7,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,-2115808.2,131,191,0
1.0,1,40.7246,-73.9833,2795,5,88,5,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,-1941930.5,9,99,1
1.0,2,40.7191,-73.9961,4550,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2133466.6,10,320,0
1.0,1,40.7481,-73.9748,3500,1,20,6,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,-2010407.1,54,40,0
1.0,0,40.7601,-73.9901,1995,3,161,5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2014998.7,133,47,0
1.0,2,40.7488,-73.9868,4599,6,114,9,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,-2157795.3,37,44,0
3.0,2,40.741,-74.0001,10000,6,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2086743.6,1,1,0
1.0,1,40.771,-73.9876,3200,5,100,13,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,-2097742.5,13,170,0
1.0,1,40.7246,-73.9833,3195,4,90,12,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,-2107300.2,9,13,1
1.0,0,40.7606,-73.9991,2717,6,125,11,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,-1941668.6,103,106,0
1.0,2,40.7369,-73.9741,4000,8,86,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2055495.9,12,4,0
0.0,0,40.7494,-73.9875,2625,8,120,9,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,-2107119.9,128,330,0
1.0,0,40.7604,-73.9617,2500,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2087356.3,8286,8,0
1.0,2,40.6533,-73.9525,2550,12,99,5,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2143894.9,5,59,0
2.0,2,40.7141,-74.0096,10800,7,139,9,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,-2150468.3,64,711,0
1.0,0,40.7704,-73.9585,2150,4,101,5,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-2054342.7,11,212,0
3.0,3,40.79,-73.9416,2895,14,71,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2115758.1,33,330,1
1.0,2,40.7555,-73.9666,3600,6,62,4,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-2010979.6,27,154,0
1.0,0,40.7655,-73.9817,2795,5,21,6,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-2115835.3,32,44,0
1.0,1,40.8679,-73.924,1875,7,54,5,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2055369.3,3,57,0
1.0,1,40.753,-73.9958,3450,0,0,5,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,-2012492.2,8286,40,0
1.0,2,40.7957,-73.9481,2659,5,55,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1968527.4,24,21,0
1.0,3,40.6721,-73.978,3200,12,64,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1951831.8,1,5,1
1.0,3,40.7377,-73.9831,5400,8,133,9,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,-2003621.3,34,36,1
2.0,4,40.7612,-73.9978,6100,6,133,14,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,1,-2167212.9,139,67,1
1.0,3,40.6959,-73.9022,2600,7,272,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2150563.5,5,3,1
1.0,1,40.7845,-73.9503,2700,5,124,7,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,-2053542.9,57,102,1
1.0,2,40.8631,-73.9264,2400,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2064116.0,1,66,0
1.0,2,40.7848,-73.973,2910,6,80,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2106872.6,6,84,0
2.0,2,40.7637,-73.9938,4200,2,121,8,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,-2115919.8,34,711,0
1.0,1,40.7538,-73.974,3000,5,121,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-2123890.8,116,33,0
1.0,2,40.7493,-73.7142,1900,10,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2086270.9,6,8,1
1.0,1,40.7074,-74.0081,4295,6,136,10,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,-1951726.5,17,711,0
1.0,1,40.6983,-73.9929,2100,8,68,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1951845.1,16,8,2
1.0,3,40.6666,-73.9821,4600,7,49,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2049835.2,1,5,0
1.0,1,40.778,-73.9466,2795,12,44,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1995415.7,8286,16,0
1.0,3,40.7734,-73.9243,2600,4,76,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2064154.4,1,1,1
1.0,1,40.7266,-73.9999,4300,4,87,4,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1950710.0,3,61,0
1.0,1,40.742,-73.9969,5005,6,155,4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2176454.2,18,13,0
1.0,2,40.7261,-74.0014,3045,4,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1937594.6,14,34,1
1.0,2,40.8217,-73.945,1950,7,122,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1942695.4,1,38,1
1.0,3,40.7243,-73.9834,5500,5,125,6,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,-2123058.0,5,22,0
2.0,2,40.7748,-73.952,3500,10,96,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,-2055181.1,6,36,0
1.0,1,40.7637,-73.9847,3000,7,126,6,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,-2011422.8,115,42,1
1.0,1,40.7633,-73.9932,2895,3,61,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2132262.9,15,103,0
1.0,0,40.799,-73.9634,1900,3,152,4,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-2167271.2,3,37,1
1.0,2,40.7113,-73.9833,3100,6,242,10,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,-2124061.8,7,5,1
1.0,3,40.773,-73.9478,3400,7,82,4,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1960350.8,5,162,1
2.0,3,40.7419,-74.0014,6000,9,77,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1977342.7,8,87,0
0.0,3,40.6945,-73.9092,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2086665.8,6,4,0
1.0,0,40.7066,-74.0099,2900,6,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2092856.8,167,35,1
1.0,0,40.7575,-73.9704,2090,2,62,5,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-2171036.0,11,46,2
1.0,2,40.7586,-73.9838,3400,5,119,5,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1960297.4,127,212,0
3.0,3,40.7898,-73.9759,8500,5,110,5,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-2176490.2,2,17,0
1.0,1,40.7432,-73.9812,2950,6,95,8,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-2185317.5,6,30,1
1.0,2,40.8031,-73.9539,3000,6,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1942941.9,5,26,0
3.0,4,40.7376,-73.9827,8100,7,116,6,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1986316.6,17,711,0
1.0,3,40.8198,-73.9578,3150,9,106,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-2159078.3,126,66,1
1.0,3,40.7775,-73.9536,3778,8,54,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2106351.9,30,59,1
1.0,1,40.688,-73.9151,2395,15,48,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-2088931.6,8286,46,0
2.0,4,40.7081,-74.0065,4750,6,107,8,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,-2053277.1,165,316,0
1.0,2,40.8449,-73.9391,1900,6,119,14,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,-2123425.7,9,141,0
1.0,2,40.6936,-73.9986,2600,4,45,3,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-2081775.8,8286,222,0
1.0,2,40.7349,-73.9818,3030,4,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2176333.1,4,14,1
1.0,0,40.7075,-74.0059,2575,3,80,5,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2054478.1,8286,6,0
1.0,0,40.7399,-74.0036,2600,0,9,5,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,-2055737.8,8286,8,0
1.0,2,40.7596,-73.9635,4095,8,76,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1977506.3,1,20,0
3.0,3,40.786,-73.952,6200,8,194,11,1,0,1,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,-2166526.8,13,44,0
1.0,1,40.7631,-73.9632,3195,3,74,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2166417.9,25,77,0
1.0,1,40.7866,-73.9732,3800,9,24,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-2150303.7,11,86,0
1.0,1,40.7606,-73.9963,3161,5,110,9,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,-2011104.3,95,30,0
1.0,2,40.7619,-73.9609,2850,6,156,5,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,-2166490.1,13,167,1
1.0,0,40.761,-73.9932,2595,6,194,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-2131998.2,1,77,2
1.0,2,40.765,-73.994,2200,5,143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2106319.6,12,1,2
2.0,2,40.8034,-73.9654,4000,12,48,7,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,-2141782.7,2,32,1
1.0,1,40.7862,-73.9769,2650,8,65,5,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2089096.4,12,7,1
1.0,1,40.7253,-74.0021,3141,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1976775.2,8286,233,0
2.0,3,40.6989,-73.9202,2798,6,80,14,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-2058852.3,1,25,1
1.0,2,40.7284,-73.9818,2990,5,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-1962516.6,8286,153,1
1.0,1,40.7692,-73.9848,2200,4,48,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2106430.6,8286,118,0
1.0,1,40.7332,-74.0047,2695,3,157,4,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1941890.5,11,4,0
2.0,3,40.7456,-74.0053,7500,7,114,14,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,-2166526.2,41,44,1
1.0,1,40.715,-74.0115,4970,5,31,9,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,-2123363.0,13,23,0
1.0,2,40.7673,-73.9894,3300,6,182,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-2150804.4,8286,9,0
2.0,2,40.6927,-73.986,4590,37,178,4,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-2088992.9,40,36,0
1.0,0,40.7516,-73.969,2350,3,132,8,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,-2183874.7,92,82,1
1.0,0,40.7783,-73.9837,2550,3,162,5,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-2176356.7,34,3,0
1.0,1,40.7798,-73.9836,2900,4,105,9,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,-1994723.0,13,170,0
2.0,2,40.7874,-73.942,3345,4,116,9,1,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,-2069336.6,21,29,0
1.0,0,40.7942,-73.966,3460,5,69,5,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-1994225.5,9,62,0
2.0,2,40.8159,-73.9457,2575,7,94,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2136993.1,1,5,0
1.0,1,40.7635,-73.9848,2995,2,123,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1960682.0,8286,2,0
1.0,2,40.8013,-73.9647,3200,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1977959.8,1,320,0
1.5,2,40.7476,-73.976,3855,6,228,7,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,-1950450.9,32,99,1
2.0,2,40.7387,-74.0085,9500,7,154,19,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,-1941667.5,35,47,0
1.0,0,40.7535,-73.9648,1952,6,54,6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2098471.4,31,130,1
2.0,2,40.7337,-73.9897,6000,6,54,7,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,-2089881.0,82,2533,0
1.0,1,40.822,-73.9521,1850,6,119,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1985945.7,8286,2533,0
1.0,1,40.6809,-73.9466,2550,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2123631.0,8286,233,0
1.0,1,40.7287,-73.981,2850,5,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2087326.0,16,53,0
1.0,1,40.7067,-74.0072,2350,5,148,9,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,-2015149.5,153,316,1
1.0,3,40.7376,-73.976,4400,4,165,12,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,1,-2166458.5,30,214,0
1.0,3,40.8033,-73.966,4000,4,86,3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-2002739.4,6,17,0
1.0,3,40.7296,-73.9872,58020,5,70,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1941909.9,3,276,0
1.0,0,40.775,-73.9512,1975,4,33,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2175763.8,10,35,0
